Select_All_From_Medic,2021-05-25T16:29:25.014695900
Save,2021-05-25T16:29:25.014695900
Create,2021-05-25T16:29:25.014695900
Save,2021-05-25T16:30:27.999646600
Save,2021-05-25T16:30:27.999646600
Save,2021-05-25T16:30:27.999646600
Save,2021-05-25T16:30:27.999646600
Delete,2021-05-25T16:30:27.999646600
Select_All,2021-05-25T16:30:28.015270400
Save,2021-05-25T16:30:28.015270400
Create,2021-05-25T16:30:28.015270400
Select_All,2021-05-25T16:30:28.015270400
Save,2021-05-25T16:30:28.015270400
Create,2021-05-25T16:30:28.015270400
Save,2021-05-25T16:30:33.158478600
Save,2021-05-25T16:30:33.158478600
Save,2021-05-25T16:30:33.158478600
Save,2021-05-25T16:30:33.158478600
Delete,2021-05-25T16:30:33.158478600
Select_All,2021-05-25T16:30:33.164993900
Save,2021-05-25T16:30:33.180671900
Create,2021-05-25T16:30:33.180671900
Select_All,2021-05-25T16:30:33.180671900
Save,2021-05-25T16:30:33.180671900
Create,2021-05-25T16:30:33.180671900
Delete_Medic,2021-05-25T16:33:55.056101800
Select_All_From_Medic,2021-05-25T16:33:55.071725700
Create_Medic,2021-05-25T16:33:55.071725700
Select_All_From_Medic,2021-05-25T16:33:55.071725700
Create_Medic,2021-05-25T16:33:55.071725700
Delete_Medic,2021-05-25T16:39:07.126064100
Select_All_From_Medic,2021-05-25T16:39:07.141738300
Create_Medic,2021-05-25T16:39:07.141738300
Select_All_From_Medic,2021-05-25T16:39:07.141738300
Create_Medic,2021-05-25T16:39:07.141738300
Delete_Medic,2021-05-25T22:17:46.114584300
Select_All_From_Medic,2021-05-25T22:17:46.168071700
Create_Medic,2021-05-25T22:17:46.168071700
Select_All_From_Medic,2021-05-25T22:17:46.169075200
Create_Medic,2021-05-25T22:17:46.170070300
Select_All_From_Medic,2021-05-25T22:18:06.951695200
Delete_Medic,2021-05-25T22:19:08.734957500
Select_All_From_Medic,2021-05-25T22:19:08.765873900
Create_Medic,2021-05-25T22:19:08.765873900
Select_All_From_Medic,2021-05-25T22:19:08.766874200
Create_Medic,2021-05-25T22:19:08.767874300
Select_All_From_Medic,2021-05-25T22:19:15.422677600
Create_Programare,2021-05-25T22:19:36.059622400
Delete_Medic,2021-05-25T22:21:10.661976700
Delete_Medic,2021-05-25T22:21:28.638095500
Select_All_From_Medic,2021-05-25T22:21:28.665379900
Create_Medic,2021-05-25T22:21:28.666426900
Select_All_From_Medic,2021-05-25T22:21:28.666426900
Create_Medic,2021-05-25T22:21:28.667427600
Delete_Medic,2021-05-25T22:21:37.050301100
Delete_Medic,2021-05-25T22:21:59.140076
Select_All_From_Medic,2021-05-25T22:21:59.224131800
Create_Medic,2021-05-25T22:21:59.225623200
Select_All_From_Medic,2021-05-25T22:21:59.226802
Create_Medic,2021-05-25T22:21:59.227798900
Delete_Medic,2021-05-25T22:22:21.362588500
Delete_Medic,2021-05-25T22:22:40.690121800
Select_All_From_Medic,2021-05-25T22:22:40.718560100
Create_Medic,2021-05-25T22:22:40.718560100
Select_All_From_Medic,2021-05-25T22:22:40.719561200
